,,,,,,附件二,附件二,附件二,附件二,,,
,,,各區單車徑的長度及位置以及單車泊位數目,各區單車徑的長度及位置以及單車泊位數目,各區單車徑的長度及位置以及單車泊位數目,各區單車徑的長度及位置以及單車泊位數目,,,,,,
,,,,(截至二零一截至二零一截至二零一截至二零一一年九月一年九月一年九月一年九月)))) ,((,(,,,,,,
,區議會,區議會,區議會,區議會,單車徑長度,單車徑長度,單車徑長度,單車徑長度,單車泊位,單車泊位,單車泊位,單車泊位
,,,,,,單車徑的位置,單車徑的位置,單車徑的位置,單車徑的位置,,,
,分區 ,分區分區,分區,(公里公里公里公里)))) ,((,(,數目 ,數目數目,數目,,,
中西區,,,0,,0,-,,,,,,
灣仔,,,0,,0,-,,,,,,
東區,,,0,,10,-,,,,,,
南區,,,0.3,,0,數碼港 ,,,,,,
九龍城,,,0,,0,-,,,,,,
深水埗,,,0,,60,-,,,,,,
觀塘,,,0,,0,-,,,,,,
葵青,,,0,,0,-,,,,,,
油尖旺,,,1.5,,0,西九龍海濱長廊,,,,,,
黃大仙,,,0,,0,-,,,,,,
離島,,,14,,"5,050",東涌道、裕東路、梅窩等,,,,,,
,,,,,,百和路、和合石、石湖墟、,,,,,,
北區,,,27,,"3,190",,,,,,,
,,,,,,聯和墟、沙頭角公路龍躍頭段等,,,,,,
,,,,,,寶琳、坑口、調景嶺、環保大道近將軍澳,,,,,,
西貢,,,15,,"3,370",,,,,,,
,,,,,,工業邨等,,,,,,
,,,,,,大圍城門河、禾輋、圓洲角、,,,,,,
沙田,,,50,"10,620",,小瀝源、石門、亞公角、馬鞍山、吐露港,,,,,,
,,,,,,公路、火炭等,,,,,,
,,,,,,湖景路、龍門路近蝴蝶灣公園、屯門河近,,,,,,
屯門,,,20,,"3,890",湖山河畔公園、,,,,,,
,,,,,,屯門站、田景、藍地等,,,,,,
,,,,,,太和路、汀角路、南運路、,,,,,,
大埔,,,35,,"3,480",,,,,,,
,,,,,,吐露港公路等,,,,,,
荃灣,,,0,,170,-,,,,,,
,,,,,,洪水橋、屏山、橫洲、青山公路元朗段、,,,,,,
元朗,,,44,"11,560",,,,,,,,
,,,,,,錦田公路、天水圍等,,,,,,
,總數 ,,206.8,"41,440",,-,,,,,,
